district_id,entity_class,n_variants,variants,fd_2.0_tickets,fd_implementation,nxt_dev_items,nxt_migration_items
hutto,customer,1,Hutto ISD,128,0,0,0
glastonbury,customer,1,Glastonbury School District,101,1,0,0
southwest,customer,1,Southwest ISD,95,6,0,0
adams,customer,2,Adams 12 (NXT) | Adams 12 Five Star Schools,92,7,2,0
edge,internal-test,1,Edge District,78,9,0,0
greenfield,customer,1,Greenfield Public Schools,65,0,0,0
caring,customer,1,Caring ISD,65,2,0,0
bridge city,customer,1,Bridge City ISD,65,11,0,0
comal,customer,1,Comal ISD,64,8,0,0
dilworth,customer,1,Dilworth (mig),0,0,0,57
creston,customer,1,Creston Community School District,54,9,0,0
benton,customer,1,Benton School District,48,6,0,0
washburn,customer,1,Washburn (mig),0,0,0,46
dayton,customer,1,Dayton Independent School District,45,0,0,0
decorah,customer,1,Decorah Community School District,43,10,0,0
port neches groves,customer,1,Port Neches-Groves ISD,41,4,0,0
wadena deer creek,customer,2,Wadena- Deer Creek Public Schools | Wadena-Deer Creek (NXT),37,10,1,0
carl junction,customer,2,Carl Junction (NXT) | Carl Junction Schools,37,3,1,0
garrison,customer,1,Garrison ISD,36,1,0,0
waller,customer,1,Waller ISD,32,0,0,0
arkansas arts,customer,1,Arkansas Arts Academy,32,2,0,0
suffolk city,customer,1,Suffolk City Public Schools,31,8,0,0
franklin,customer,1,Franklin Public Schools,31,1,0,0
texas city,customer,2,Texas City (NXT) | Texas City ISD,30,6,3,0
morgan,customer,1,Morgan County School District,30,8,0,0
healdsburg,customer,1,Healdsburg Unified School District,29,1,0,0
west branch,customer,1,West Branch Community School District,27,5,0,0
mankato,customer,4,Mankato (NXT) | Mankato (mig) | Mankato Area Public Schools ISD 77 | Mankato Area School District ISD 77,21,2,1,5
groton,customer,1,Groton Public Schools,26,0,0,0
mashpee,customer,1,Mashpee Public Schools,26,0,0,0
east newton vi,customer,1,East Newton School District R-VI,25,0,0,0
mexico,customer,1,Mexico School District 59,24,4,0,0
parlier,customer,1,Parlier Unified School District,24,4,0,0
fortune of education,customer,1,Fortune School of Education,24,0,0,0
cardinal,customer,1,Cardinal Community School District,24,2,0,0
colorado for the deaf and blind,customer,1,Colorado School for the Deaf and Blind,23,8,0,0
van alstyne,customer,1,Van Alstyne ISD,23,1,0,0
coventry,customer,1,Coventry Public Schools,21,0,0,0
spring bluff xv,customer,1,Spring Bluff R-XV,20,7,0,0
cole,customer,1,Cole Academy,20,1,0,0
