key,class,issuetype,module,effort_band,story_points,cycle_days,comments,sprints,summary
NXT-63908,dev,Story,Inventory,L,3.0,81,6,2,INV - Vendors - Items - Ignore unorderable items for VI# uniqueness
NXT-65504,dev,Story,Family Hub,M,3.0,10,10,1,FH - WebView Update for Adams 12 App
NXT-65541,dev,Story,Accountability,S,,0,0,0,FO - Year Begin - Updates
NXT-66821,dev,Story,Eligibility,L,5.0,203,8,1,"Elig - DC - Extensions - Extending a different DC Type to the same student, bloc"
NXT-67947,dev,Enhancement,Family Hub,M,3.0,12,9,1,FamPortal - School Menus - Modify Category/Item Display order logic
NXT-68249,dev,Enhancement,Menu Planning,L,8.0,56,14,2,Texas City - Pre-K Meal pattern(2 of 5 Components) 
NXT-68256,dev,Story,Eligibility,L,8.0,173,16,1,"Elig - Verification - 2026 QoL Updates, Include CEP Setting Update"
NXT-69292,dev,Enhancement,Menu Planning,M,3.0,6,11,1,SC Implementation - Hill City ISD #2 - Nutrient Report Issue
NXT-69463,dev,Enhancement,Menu Planning,M,5.0,48,4,2,MP- Pre-K Meal pattern(2 of 5 Components) - Adjust Nutrition Report and Slideout
NXT-69492,dev,Story,Accountability,L,5.0,103,17,1,Acc DQ - Adams 12 - SchoolCafe - Oracle financial exports
NXT-69710,dev,Story,Accountability,M,3.0,53,5,1,FO - Attendance  > Monthly Entry Type> Bulk Entry tool > Allow partial entry for
NXT-70214,dev,Story,Accountability,L,8.0,32,10,1,FO - Accountability > Transactions > Exceptions > Do not allow exceptions adjust
NXT-70215,dev,Story,Accountability,S,,0,0,0,FO - Accountability  > Claims > SNP Reports > Standard Export > Show Actual Clai
NXT-70380,dev,Enhancement,Eligibility,L,5.0,63,11,1,Elig./FH - Income Surveys - Add New Setting to stop auto-processing Surveys with
NXT-70381,dev,Enhancement,Family Hub,L,3.0,33,8,2,"FH - Menus - Display Ingredients for all menu item types, inclusive of sub-recip"
NXT-70424,dev,Enhancement,Accountability,M,3.0,24,6,1,Acc - Add Transaction - Use session location instead of patron enrollment site f
NXT-70586,dev,Story,Accountability,M,2.0,33,6,1,Acc > End of Day - Remove Status from Suspicious Transactions task
NXT-70587,dev,Story,Accountability,M,5.0,63,6,1,Acc > Reports > Edit Check Worksheet - Add Total Enrollment count
NXT-71417,dev,Story,Production,M,3.0,21,5,1,PR - Status - Production Withdrawal 
NXT-71744,dev,Story,Platform - Data Exchange,L,8.0,29,3,2,Adult Import Header-less File
NXT-71821,dev,Enhancement,Family Hub,S,3.0,0,1,1,Fam.Portal - Menus - Handle visibility of Menus for Staff at Intermediate sites
