key,label,request_type,module,issuetype,status,summary
NXT-63749,general-product,,Family Hub,Enhancement,Done Done,Family Portal - Holidays - Feedback from Menu Publishing Demo
NXT-63750,general-product,,Global Catalog,Story,Release Merge,PE/SC - DB Enabler - CNDB - Enable all the Fields
NXT-63751,general-product,,Global Catalog,Story,Release Merge,PE / SC - DB Enabler - USDA Branded Foods - Enable All the fields
NXT-63752,general-product,,Global Catalog,Story,Release Merge,PE / SC - Item Name Matching based on USDA and CNDB
NXT-63753,general-product,,Eligibility,Story,Done Done,FH - FRE Apps - SSN question for Students at CEP Sites
NXT-63762,general-product,,PE Insights,Story,Done Done,PEI - For the non serving days display all cards with appropriate data.
NXT-63828,general-product,,Global Catalog,Story,Release Merge,SC - Serving Size Parsing - GDSN / Vendor Item Upload
NXT-63851,general-product,,Inventory,Story,New,INV - Orders - Order Details & History improvements
NXT-63852,general-product,,SCTV,Story,Done Done,SCTV+ - Fix Serving Line Data Mismatch between TV and Family Hub
NXT-63862,general-product,,Item Management,Story,Done Done,QA - Regression - ITMM - Search filter issue.
NXT-63884,general-product,,Global Catalog,Story,Future Merge,"SC - Cybersoft Catalog - UI Changes (Filter, Data Query Framework)"
NXT-63908,customer-specific,FD,Inventory,Story,Done Done,INV - Vendors - Items - Ignore unorderable items for VI# uniqueness
NXT-63958,general-product,,PE Insights,Story,Done Done,SC Insights - Workspace Insights Menu Hyperlink
NXT-63974,general-product,,Accountability,Story,Done Done,Acc - Reports - Cash Collection - Page / Report Updates
NXT-63975,general-product,,Accountability,Story,Done Done,Acc - Reports - Account Balance - Page / Report Updates
NXT-63976,general-product,,Accountability,Story,Done Done,Acc - Reports - Participation - Page / Report Updates
NXT-63977,general-product,,Accountability,Story,Done Done,Acc - Reports - Payment - Page / Report Updates
NXT-63978,general-product,,Accountability,Story,Done Done,Acc - Reports - Revenue - Page / Report Updates
NXT-63979,general-product,,Accountability,Story,Done Done,Acc - Reports - Site Balance - Page / Report Updates
NXT-63980,general-product,,Eligibility,Story,Done Done,Elig - Reports - Application Counts - Page / Report Updates
NXT-63981,general-product,,Eligibility,Story,Done Done,Elig - Reports - CEP Identified Students - Page / Report Updates
NXT-63982,general-product,,Eligibility,Story,Done Done,Elig - Reports - Direct Certification Counts - Page / Report Updates
NXT-63983,general-product,,Eligibility,Story,Done Done,Elig - Reports - Eco Dis % - Page / Report Updates
NXT-63984,general-product,,Eligibility,Story,Done Done,Elig - Reports - Eligibility Summary - Page / Report Updates
NXT-63985,general-product,,Eligibility,Story,Done Done,Elig - Reports - Income Survey - Page / Report Updates
NXT-64007,general-product,,Global Catalog,Story,Future Merge,"Cy. Catalog - PE/SC - Usage of Valuation Group, Storage Category and Item Category - API & UI"
NXT-64011,general-product,,PE Insights,Story,Done Done,SC Insights - Create base project to build Web APIs
NXT-64132,general-product,,Mobile App,Story,Future Merge,TH - Sec - PE Auth - Verify App Code
NXT-64134,general-product,,Mobile App,Story,New,TH - Production - Integrate with SC Production Records
NXT-64326,general-product,,Family Hub,Enhancement,Done Done,FamPortal - Super Admin - Payment Guidelines - Remove conveniece fee validation when 'Mixed' option is selected
NXT-64328,general-product,,Inventory,Story,Done Done,INV - Internal Vendors - Contracts - Seasonal Contracts
NXT-64333,general-product,,PE Insights,Story,Done Done,SC Insights - Benchmark functionality
NXT-64335,general-product,,PE Insights,Story,Done Done,SC Insights - Command Center API
NXT-64336,general-product,,PE Insights,Story,Done Done,WS - Benchmark - User Preference API
NXT-64397,general-product,,PE Insights,Story,Done Done,SC Insights - Revenue Card
NXT-64398,general-product,,PE Insights,Story,Done Done,SC Insights - Revenue Drawer
NXT-64401,general-product,,PE Insights,Story,Done Done,SC Insights - EcoDis Card
NXT-64402,general-product,,PE Insights,Story,Done Done,SC Insights - EcoDis Drawer
NXT-64405,general-product,,Family Hub,Enhancement,Done Done,FamPortal - Super Admin - Payment Guidelines - Trigger an email upon saving new guidelines
NXT-64419,general-product,,PE Insights,Story,Done Done,SC Insights AI
NXT-64420,general-product,,PE Insights,Story,Done Done,SC Insights AI Workspace
NXT-64421,general-product,,PE Insights,Story,Done Done,SC Insights Schoolie
NXT-64422,general-product,,PE Insights,Story,Done Done,SC Insights - Waste Card
NXT-64423,general-product,,PE Insights,Story,Done Done,SC Insights - Waste Drawer
NXT-64443,general-product,,Global Catalog,Story,Ready for Development,SC - USDA Branded Foods - Excel Export (API)
NXT-64444,general-product,,Global Catalog,Story,Future Merge,SC - Bulk Import USDA Branded Foods items Via Global Catalog (UI Integration)
NXT-64445,general-product,,Global Catalog,Story,Ready for Development,SC - USDA Branded Foods - View an Item (API) - Common View for any Data Source - Fetch Missing Information
NXT-64446,general-product,,Global Catalog,Story,Future Merge,SC - UI Integration - USDA Branded Foods (Search Items)
NXT-64447,general-product,,Global Catalog,Story,Release Merge,SC - DB Enabler - USDA Branded Foods (Search API)
NXT-64472,general-product,,Inventory,Story,New,INV - Orders - Receipt Details - Enhanced Icons for Changes
NXT-64496,general-product,,SCTV,Story,Done Done,SCTV+ - Implement Backend Heartbeat Monitoring with Reconnection Triggers for Stale Devices
NXT-64497,general-product,,Accountability,Story,Done Done,Sys > Reim. Rates - CACFP Updates
NXT-64498,general-product,,Accountability,Story,Done Done,Acc - CACFP Reports - Activity
NXT-64507,general-product,,Accountability,Story,Done Done,Acc - CACFP Reports - Edit Check
NXT-64518,general-product,,Accountability,Story,Done Done,Acc - CACFP Reports - Participation
NXT-64519,general-product,,Accountability,Story,Done Done,Acc - CACFP Reports - Revenue
NXT-64565,general-product,,Family Hub,Enhancement,New,FamPortal - Super Admin - Email Alert Log - Display Campus Store emails for future tracking
NXT-64568,general-product,,PE Insights,Story,Done Done,SC Insights - MEQs Card
NXT-64569,general-product,,PE Insights,Story,Done Done,SC Inisghts - MEQs drawer
NXT-64572,general-product,,Item Management,Enhancement,Done Done,IM - Item Configuration - 'Item Configuration' missing from breadcrumb path
NXT-64574,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - CNDB - API for Update
NXT-64575,general-product,,Global Catalog,Story,Future Merge,GC Portal - USDA Branded Foods - API for Update
NXT-64576,general-product,,Global Catalog,Story,Future Merge,GC Portal - Cybersoft Catalog - API for Update
NXT-64577,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - USDA Foods - API for Update
NXT-64580,general-product,,Global Catalog,Story,Future Merge,GC Portal - USDA Braded Foods - UI Integration  (View)
NXT-64581,general-product,,Global Catalog,Story,Story Refinement/Efforting,GC Portal - CNDB - CRUD Operations - UI Integration
NXT-64582,general-product,,Global Catalog,Story,Future Merge,GC Portal - USDA Branded Foods - CRUD Operations - UI Integration
NXT-64583,general-product,,Global Catalog,Story,New,GC Portal - USDA Foods - CRUD Operations - UI Integration
NXT-64584,general-product,,Global Catalog,Story,Future Merge,GC Portal - Cybersoft Catalog - CRUD Operations - UI Integration
NXT-64599,general-product,,System,Story,Done Done,Insights AI - System Setting
NXT-64606,general-product,,PE Insights,Story,Done Done,SC Insights - Meals Card
NXT-64607,general-product,,PE Insights,Story,Done Done,SC Insights - Meals Drawer
NXT-64641,general-product,,PE Insights,Story,Done Done,SC Insights - Meals ADP Card
NXT-64642,general-product,,PE Insights,Story,Done Done,SC Insights - Meals ADP Drawer
NXT-64655,general-product,,Item Management,Enhancement,Done Done,IM - Item Onboarding - Future Enhancements & corner case issues 
NXT-64663,general-product,,Eligibility,Enhancement,Done Done,Elig - Default setting for SSN Required update
NXT-64664,general-product,,PE Insights,Story,Done Done,WS - Benchmark - Previous Years - PE
NXT-64665,general-product,,PE Insights,Story,Done Done,WS - Benchmark - Previous Years - SC
NXT-64666,general-product,,PE Insights,Story,Done Done,WS - Benchmark - Value Type Indicators
NXT-64667,general-product,,PE Insights,Story,Done Done,WS - Benchmark - Sum count and dollar daily values-PE
NXT-64672,general-product,,PE Insights,Story,Done Done,SC Insights - School performance
NXT-64674,general-product,,PE Insights,Story,Done Done,SC Insights - Performance Trend
NXT-64676,general-product,,PE Insights,Story,Done Done,SC Insights - Team Hub
