asset_id,title,source_org,source_url,source_page_url,asset_type,file_format,license_posture,local_path,thumbnail_path,downloaded,llm_ingestion_allowed,roles,topics,attribution_text,notes
icn-food-safety-videos-a-flash-of-food-safety-1-eng,A Flash of Food Safety_1_eng,Institute of Child Nutrition,https://theicn.org/resources/174/food-safety-videos/104809/a-flash-of-food-safety_1_eng.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/A-Flash-of-Food-Safety_1_eng.mp4,,True,False,cafeteria_manager|frontline_cafeteria_staff,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: A Flash of Food Safety_1_eng February 14, 2018 Download"
icn-food-safety-videos-a-flash-of-food-safety-2-eng,A Flash of Food Safety_2_eng,Institute of Child Nutrition,https://theicn.org/resources/174/food-safety-videos/104808/a-flash-of-food-safety_2_eng.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/A-Flash-of-Food-Safety_2_eng.mp4,,True,False,cafeteria_manager|frontline_cafeteria_staff,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: A Flash of Food Safety_2_eng February 14, 2018 Download"
icn-food-safety-videos-a-flash-of-food-safety-3-eng,A Flash of Food Safety_3_eng,Institute of Child Nutrition,https://theicn.org/resources/174/food-safety-videos/104807/a-flash-of-food-safety_3_eng.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/A-Flash-of-Food-Safety_3_eng.mp4,,True,False,cafeteria_manager|frontline_cafeteria_staff,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: A Flash of Food Safety_3_eng February 14, 2018 Download"
icn-food-safety-videos-a-flash-of-food-safety-4-eng,A Flash of Food Safety_4_eng,Institute of Child Nutrition,https://theicn.org/resources/174/food-safety-videos/104806/a-flash-of-food-safety_4_eng.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/A-Flash-of-Food-Safety_4_eng.mp4,,True,False,cafeteria_manager|frontline_cafeteria_staff,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: A Flash of Food Safety_4_eng February 14, 2018 Download"
icn-food-safety-videos-a-flash-of-food-safety-5-eng,A Flash of Food Safety_5_eng,Institute of Child Nutrition,https://theicn.org/resources/174/food-safety-videos/104805/a-flash-of-food-safety_5_eng.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/A-Flash-of-Food-Safety_5_eng.mp4,,True,False,cafeteria_manager|frontline_cafeteria_staff,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: A Flash of Food Safety_5_eng February 14, 2018 Download"
icn-discovery-best-practices-for-operations-and-teamwork,Best Practices for Operations and Teamwork,Institute of Child Nutrition,https://theicn.org/icn-resources-a-z/school-nutrition-videos-best-practices-for-operations-and-teamwork/,https://theicn.org/school-nutrition-programs/,webpage,webpage,link_only,,,False,False,cafeteria_manager|district_admin,customer_service|cafeteria_operations,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,Link-only discovery target from broader ICN School Nutrition Programs page.
icn-discovery-calibrating-thermometers,Calibrating Thermometers,Institute of Child Nutrition,https://theicn.org/resources/521/food-safety-fact-sheets/107102/calibrating-thermometers.pdf,https://theicn.org/school-nutrition-programs/,webpage,webpage,link_only,,,False,False,frontline_cafeteria_staff|district_admin,thermometer_use,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,Link-only discovery target from broader ICN School Nutrition Programs page.
icn-food-safety-videos-child-care-employee-health-and-personal-hygiene-video-mini-series-part-1-reporting-illness,Child Care Employee Health and Personal Hygiene Video Mini-Series Part 1- Reporting Illness,Institute of Child Nutrition,https://theicn.org/resources/165/employee-health-and-personal-hygiene/107648/child-care-employee-health-and-personal-hygiene-video-mini-series-part-1-reporting-illness.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/Child-Care-Employee-Health-and-Personal-Hygiene-Video-Mini-Series-Part-1-Reporting-Illness.mp4,,True,False,frontline_cafeteria_staff|cafeteria_manager,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: Child Care Employee Health and Personal Hygiene Video Mini-Series Part 1- Reporting Illness June 20, 2018 Download"
icn-food-safety-videos-child-care-employee-health-and-personal-hygiene-video-mini-series-part-2-handling-illness,Child Care Employee Health and Personal Hygiene Video Mini-Series Part 2- Handling Illness,Institute of Child Nutrition,https://theicn.org/resources/165/employee-health-and-personal-hygiene/107649/child-care-employee-health-and-personal-hygiene-video-mini-series-part-2-handling-illness.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/Child-Care-Employee-Health-and-Personal-Hygiene-Video-Mini-Series-Part-2-Handling-Illness.mp4,,True,False,frontline_cafeteria_staff|cafeteria_manager,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: Child Care Employee Health and Personal Hygiene Video Mini-Series Part 2- Handling Illness June 20, 2018 Download"
icn-food-safety-videos-child-care-employee-health-and-personal-hygiene-video-mini-series-part-3-preventing-illnes,Child Care Employee Health and Personal Hygiene Video Mini-Series Part 3- Preventing Illness,Institute of Child Nutrition,https://theicn.org/resources/165/employee-health-and-personal-hygiene/107650/child-care-employee-health-and-personal-hygiene-video-mini-series-part-3-preventing-illness.mp4,https://theicn.org/icn-resources-a-z/food-safety-videos/,video_local,mp4,download_allowed,assets/videos/Child-Care-Employee-Health-and-Personal-Hygiene-Video-Mini-Series-Part-3-Preventing-Illness.mp4,,True,False,frontline_cafeteria_staff|cafeteria_manager,food_safety,Source: Institute of Child Nutrition / USDA. ICN and USDA identifiers retained.,"Discovered from table row: Child Care Employee Health and Personal Hygiene Video Mini-Series Part 3- Preventing Illness June 20, 2018 Download"
