role,topic,asset_id,title,asset_type,lms_use_case,confidence,notes
cafeteria_manager,food_safety,icn-food-safety-videos-a-flash-of-food-safety-1-eng,A Flash of Food Safety_1_eng,video_local,Embedded local video clip,high,"Cafeteria Manager / Food Safety mapping from title, source, filename, and extracted headings."
frontline_cafeteria_staff,food_safety,icn-food-safety-videos-a-flash-of-food-safety-1-eng,A Flash of Food Safety_1_eng,video_local,Embedded local video clip,high,"Frontline Cafeteria Staff / Food Safety mapping from title, source, filename, and extracted headings."
cafeteria_manager,food_safety,icn-food-safety-videos-a-flash-of-food-safety-2-eng,A Flash of Food Safety_2_eng,video_local,Embedded local video clip,high,"Cafeteria Manager / Food Safety mapping from title, source, filename, and extracted headings."
frontline_cafeteria_staff,food_safety,icn-food-safety-videos-a-flash-of-food-safety-2-eng,A Flash of Food Safety_2_eng,video_local,Embedded local video clip,high,"Frontline Cafeteria Staff / Food Safety mapping from title, source, filename, and extracted headings."
cafeteria_manager,food_safety,icn-food-safety-videos-a-flash-of-food-safety-3-eng,A Flash of Food Safety_3_eng,video_local,Embedded local video clip,high,"Cafeteria Manager / Food Safety mapping from title, source, filename, and extracted headings."
frontline_cafeteria_staff,food_safety,icn-food-safety-videos-a-flash-of-food-safety-3-eng,A Flash of Food Safety_3_eng,video_local,Embedded local video clip,high,"Frontline Cafeteria Staff / Food Safety mapping from title, source, filename, and extracted headings."
cafeteria_manager,food_safety,icn-food-safety-videos-a-flash-of-food-safety-4-eng,A Flash of Food Safety_4_eng,video_local,Embedded local video clip,high,"Cafeteria Manager / Food Safety mapping from title, source, filename, and extracted headings."
frontline_cafeteria_staff,food_safety,icn-food-safety-videos-a-flash-of-food-safety-4-eng,A Flash of Food Safety_4_eng,video_local,Embedded local video clip,high,"Frontline Cafeteria Staff / Food Safety mapping from title, source, filename, and extracted headings."
cafeteria_manager,food_safety,icn-food-safety-videos-a-flash-of-food-safety-5-eng,A Flash of Food Safety_5_eng,video_local,Embedded local video clip,high,"Cafeteria Manager / Food Safety mapping from title, source, filename, and extracted headings."
frontline_cafeteria_staff,food_safety,icn-food-safety-videos-a-flash-of-food-safety-5-eng,A Flash of Food Safety_5_eng,video_local,Embedded local video clip,high,"Frontline Cafeteria Staff / Food Safety mapping from title, source, filename, and extracted headings."
cafeteria_manager,customer_service,icn-discovery-best-practices-for-operations-and-teamwork,Best Practices for Operations and Teamwork,webpage,Link-out resource card,high,"Cafeteria Manager / Customer Service mapping from title, source, filename, and extracted headings."
cafeteria_manager,cafeteria_operations,icn-discovery-best-practices-for-operations-and-teamwork,Best Practices for Operations and Teamwork,webpage,Link-out resource card,high,"Cafeteria Manager / Cafeteria Operations mapping from title, source, filename, and extracted headings."
