id,title,platform,module,content_type,source_url,local_pdf,status,drift_status,retrieved_at,extracted_at,sensitive_url,error,raw_markdown_path,curated_markdown_path,raw_text_sha256,software_version,source_updated,created_at,updated_at
GUIDE-001,System Onboarding Quick Guide,SC,System,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/System/Operation_Onboarding_Quick_Guide.pdf,raw/guides/pdf/SC/System/Quick-Guide/GUIDE-001-system-onboarding-quick-guide.pdf,draft_extracted,clean,2026-05-13T20:06:22+00:00,2026-05-18T20:39:35+00:00,false,,raw/guides/markdown/SC/System/Quick-Guide/GUIDE-001-system-onboarding-quick-guide.raw.md,raw/guides/markdown/SC/System/Quick-Guide/GUIDE-001-system-onboarding-quick-guide.md,98fec23e35e18bb2,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:52+00:00
GUIDE-002,System Maintenance Quick Guide,SC,System,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/System/System_Maintenance_Quick_Guide.pdf,raw/guides/pdf/SC/System/Quick-Guide/GUIDE-002-system-maintenance-quick-guide.pdf,draft_extracted,clean,2026-05-13T20:06:22+00:00,2026-05-18T20:39:36+00:00,false,,raw/guides/markdown/SC/System/Quick-Guide/GUIDE-002-system-maintenance-quick-guide.raw.md,raw/guides/markdown/SC/System/Quick-Guide/GUIDE-002-system-maintenance-quick-guide.md,b9119e4179ac6d67,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:53+00:00
GUIDE-003,Data Management Quick Guide,SC,System,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/System/Data_Management_Quick_Guide.pdf,raw/guides/pdf/SC/System/Quick-Guide/GUIDE-003-data-management-quick-guide.pdf,draft_extracted,clean,2026-05-13T20:06:23+00:00,2026-05-18T20:39:36+00:00,false,,raw/guides/markdown/SC/System/Quick-Guide/GUIDE-003-data-management-quick-guide.raw.md,raw/guides/markdown/SC/System/Quick-Guide/GUIDE-003-data-management-quick-guide.md,7d7c096bb72650c5,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:53+00:00
GUIDE-004,Year Begin Checklist,SC,System,Checklist,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/System/Year_Begin_Checklist.pdf,raw/guides/pdf/SC/System/Checklist/GUIDE-004-year-begin-checklist.pdf,draft_extracted,clean,2026-05-13T20:06:23+00:00,2026-05-18T20:39:36+00:00,false,,raw/guides/markdown/SC/System/Checklist/GUIDE-004-year-begin-checklist.raw.md,raw/guides/markdown/SC/System/Checklist/GUIDE-004-year-begin-checklist.md,302781f385692fc4,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:53+00:00
GUIDE-005,Command Center - Front Office Quick Guide,SC,Insights,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/Insights/Insights_Command_Center_Front_Office_Quick_Guide.pdf,raw/guides/pdf/SC/Insights/Quick-Guide/GUIDE-005-command-center-front-office-quick-guide.pdf,draft_extracted,clean,2026-05-13T20:06:24+00:00,2026-05-18T20:39:37+00:00,false,,raw/guides/markdown/SC/Insights/Quick-Guide/GUIDE-005-command-center-front-office-quick-guide.raw.md,raw/guides/markdown/SC/Insights/Quick-Guide/GUIDE-005-command-center-front-office-quick-guide.md,c4645993671c13b9,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:53+00:00
GUIDE-006,Command Center - Back Office Quick Guide,SC,Insights,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/Insights/Insights_Command_Center_Back_Office_Quick_Guide.pdf,raw/guides/pdf/SC/Insights/Quick-Guide/GUIDE-006-command-center-back-office-quick-guide.pdf,draft_extracted,clean,2026-05-13T20:06:24+00:00,2026-05-18T20:39:37+00:00,false,,raw/guides/markdown/SC/Insights/Quick-Guide/GUIDE-006-command-center-back-office-quick-guide.raw.md,raw/guides/markdown/SC/Insights/Quick-Guide/GUIDE-006-command-center-back-office-quick-guide.md,e234510a68e54ccb,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:53+00:00
GUIDE-007,Custom Reports Quick Reference Guide,SC,Reports,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/Reports/Custom_Reports_Quick_Reference_Guide.pdf,raw/guides/pdf/SC/Reports/Quick-Guide/GUIDE-007-custom-reports-quick-reference-guide.pdf,draft_extracted,clean,2026-05-13T20:06:25+00:00,2026-05-18T20:39:37+00:00,false,,raw/guides/markdown/SC/Reports/Quick-Guide/GUIDE-007-custom-reports-quick-reference-guide.raw.md,raw/guides/markdown/SC/Reports/Quick-Guide/GUIDE-007-custom-reports-quick-reference-guide.md,55286307dbf0d87f,6.4.8,12/21/2023,2026-05-13T20:23:05+00:00,2026-05-18T20:51:54+00:00
GUIDE-008,Custom Reports Help Guide,SC,Reports,Help Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/Reports/Custom_Reports_Help_Guide.pdf,raw/guides/pdf/SC/Reports/Help-Guide/GUIDE-008-custom-reports-help-guide.pdf,draft_extracted,clean,2026-05-13T20:06:26+00:00,2026-05-18T20:39:38+00:00,false,,raw/guides/markdown/SC/Reports/Help-Guide/GUIDE-008-custom-reports-help-guide.raw.md,raw/guides/markdown/SC/Reports/Help-Guide/GUIDE-008-custom-reports-help-guide.md,1ee04ad602bda842,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:54+00:00
GUIDE-009,POS - Menu Service Quick Card,SC,Accountability,Quick Card,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/Accountability/POS/POS_Quick_Card.pdf,raw/guides/pdf/SC/Accountability/Quick-Card/GUIDE-009-pos-menu-service-quick-card.pdf,needs_review,clean,2026-05-13T20:06:26+00:00,2026-05-18T20:39:38+00:00,false,possible_multi_column_layout,raw/guides/markdown/SC/Accountability/Quick-Card/GUIDE-009-pos-menu-service-quick-card.raw.md,raw/guides/markdown/SC/Accountability/Quick-Card/GUIDE-009-pos-menu-service-quick-card.md,555e72a3a39ae666,6.2,3/09/2023,2026-05-13T20:23:05+00:00,2026-05-18T20:51:54+00:00
GUIDE-010,POS - Summary Sale Quick Guide,SC,Accountability,Quick Guide,https://s3.us-east-1.amazonaws.com/docs.schoolcafe.com/Accountability/POS/Summary_Sale_Quick_Guide.pdf,raw/guides/pdf/SC/Accountability/Quick-Guide/GUIDE-010-pos-summary-sale-quick-guide.pdf,draft_extracted,clean,2026-05-13T20:06:27+00:00,2026-05-18T20:39:38+00:00,false,,raw/guides/markdown/SC/Accountability/Quick-Guide/GUIDE-010-pos-summary-sale-quick-guide.raw.md,raw/guides/markdown/SC/Accountability/Quick-Guide/GUIDE-010-pos-summary-sale-quick-guide.md,ee841e16646bd8ca,,,2026-05-13T20:23:05+00:00,2026-05-18T20:51:54+00:00
