issue_key,associated_story_key,associated_epic_key,associated_epic_name,epic_link_path,linked_story_count
PCS-4510,,,,none,0
PCS-4509,,,,none,0
NXT-72153,,,,none,0
NXT-72118,,,,none,0
NXT-72116,,,,none,0
NXT-72047,,,,none,0
PCS-4506,,,,none,0
NXT-71919,NXT-69359,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71860,,,,none,0
NXT-71835,,,,none,0
NXT-71801,,,,none,0
PCS-4499,,,,none,0
NXT-71678,,,,none,0
NXT-71659,,NXT-66942,,direct_parent,0
NXT-71657,NXT-69523,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71656,,NXT-66942,,direct_parent,0
NXT-71655,,NXT-66942,,direct_parent,0
NXT-71653,,,,none,0
NXT-71639,NXT-61904,NXT-61847,IM - Bulk Item - Section Filters and Enhancements,via_linked_story,1
NXT-71633,NXT-56379,NXT-64951,IM - Usability & UX Enhancements (9.X),via_linked_story,1
NXT-71607,NXT-69359,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71599,,,,none,0
NXT-71598,NXT-68116,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71597,,,,none,0
NXT-71596,,,,none,0
NXT-71567,NXT-69496,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71562,NXT-67587,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71528,,,,none,0
NXT-71508,,,,none,0
PCS-4486,,,,none,0
NXT-71349,NXT-56379,NXT-64951,IM - Usability & UX Enhancements (9.X),via_linked_story,1
NXT-71347,,,,none,0
NXT-71266,NXT-69524,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71262,,,,none,0
NXT-71247,,,,none,0
NXT-71236,NXT-69359,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71230,NXT-69524,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
NXT-71228,,,,none,0
NXT-71224,,NXT-66942,,direct_parent,0
NXT-71222,,NXT-66942,,direct_parent,0
NXT-71221,,NXT-66942,,direct_parent,0
NXT-71211,,NXT-64850,IM - Bulk Item - Local Updates,direct_parent,0
NXT-71190,,,,none,0
NXT-71186,NXT-69524,NXT-64850,IM - Bulk Item - Local Updates,via_linked_story,1
PCS-4481,,,,none,0
NXT-71174,,,,none,0
NXT-71166,,,,none,0
NXT-71149,NXT-62539,NXT-61558,IM - Item Onboarding- Excel Import/Export & Local Publishing,via_linked_story,1
